cct,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32DPR2447T,38,7,18,18,2,10,10,5,13,9,3,11,-7,-4,-17,17,7,12,34,55,27
32DPR1225C,-11,-7,-4,0,-4,-6,2,1,-7,-3,5,-5,5,2,-2,2,2,1,3,4,-5
32DPR0026X,-4,-7,-5,-8,2,0,1,1,2,5,-1,1,-8,3,-2,-3,-2,2,-2,4,3
32DPR0111U,-6,1,-3,22,-1,42,8,-7,-7,-3,10,-8,6,-5,2,-3,8,-3,9,7,4
32EPR0054S,-26,0,-22,-3,5,-1,11,0,6,56,7,31,-50,20,-1,-18,-22,34,52,179,-27
32DPR1661D,11,-23,8,-2,-9,-2,3,-2,6,1,2,3,-3,-3,-5,-2,0,-2,5,4,3
32DPR0244K,10,-11,-27,3,21,-2,-7,8,-5,-16,-3,-11,12,-16,-5,-7,16,-11,5,-13,7
32DPR0159N,8,2,0,8,-4,5,-5,0,-3,0,-10,0,-6,0,1,0,-8,-6,0,-3,-3
32DPR0680L,-5,1,-4,-3,-5,-1,4,-3,1,2,1,1,0,-5,16,-7,-2,3,-3,0,2
32EPR0030I,-35,-20,-7,-8,7,2,11,5,8,-3,-38,27,-10,-5,-5,2,-5,-3,2,9,11
32DPR0136C,-9,3,14,-4,-3,0,-1,1,0,4,-8,2,-10,9,-16,4,4,3,-3,2,-10
32DPR1357U,4,0,13,-1,-10,-5,-6,18,-2,8,5,7,3,5,7,-9,-1,2,2,6,-5
32DPR1200U,2,-1,0,-2,7,-2,-7,4,-3,11,-3,4,-7,-4,-6,-4,-4,0,-1,2,3
32DPR1115X,-6,-29,17,-13,-2,-5,-14,0,10,-8,-18,4,3,-15,-17,3,-2,-1,-2,13,-2
32DPR0487G,-2,-7,2,-4,-4,-2,-5,4,2,-7,5,-3,13,-1,2,2,4,-4,4,-1,-2
32DPR2424I,5,-6,6,-4,3,-8,-3,-3,1,-1,5,1,-4,5,2,4,-4,-11,3,9,0
32DPR0462Y,2,-1,0,3,-2,-4,-1,-1,2,-2,5,0,-1,3,-3,1,-9,-1,-9,-3,1
32DPR2339L,1,-2,11,-5,0,-3,0,3,-6,-2,1,-2,5,1,1,-2,-3,1,-3,1,-4
32DPR1248N,5,2,0,-17,4,-4,-2,-5,9,-5,2,2,-14,-2,-7,1,-10,3,-7,2,-1
32DPR1333K,-7,-3,4,-16,1,3,-6,20,-4,5,-2,5,-4,-24,1,3,2,-4,-5,-5,-1
32EPR0079A,-11,11,-18,-4,-41,-7,-7,-9,-23,-2,14,14,-11,-14,10,1,-3,-12,16,9,-4
32DPR1006Q,-9,-10,4,-14,-5,-2,-4,0,3,-6,-17,3,-19,9,-3,-1,-4,9,6,-5,-3
32EPR0163Z,-21,18,33,18,-7,33,19,-36,34,35,17,2,2,-4,10,14,11,15,-25,3,14
32EPR0055R,6,0,9,-18,-5,14,6,7,6,19,-14,6,-29,4,-18,11,-4,6,-21,-22,2
32DPR1139G,-2,-5,-5,4,2,0,4,-8,-4,4,4,4,2,-9,6,-6,-2,3,0,11,-7
32DPR1224D,-12,0,-1,-1,-2,-15,-4,-4,5,-1,1,2,0,2,-3,1,-3,2,-2,-5,7
32DPR0594P,6,-6,1,-5,-3,-2,0,0,-5,-1,1,1,-3,3,-11,-3,1,-1,-5,2,1
32DPR0110V,29,2,31,-15,-11,-2,20,2,-3,31,13,25,-15,4,3,11,-24,-21,-1,9,-17
32DPR1575H,1,-9,0,-6,5,0,1,-6,-1,1,0,-3,0,0,3,3,-1,5,1,-1,-1
32EPR0031H,-10,-22,-24,-12,10,-10,-25,6,-11,-41,-6,-26,16,-8,-24,20,-8,21,9,23,-21
32DPR0485I,-3,7,-4,-10,-11,1,-1,2,0,-6,10,-4,4,7,-1,9,14,-1,2,-8,5
32DPR0570F,-5,6,-29,1,3,27,11,-2,12,-8,0,2,-5,-8,0,-15,-5,20,-11,-20,-6
32DPR0001O,-88,-6,-24,-17,-37,-13,-6,-20,-14,-3,-1,-1,-24,-3,-13,-30,-5,-6,9,-6,-5
32DPR2448S,15,-23,33,29,23,20,37,25,20,29,32,32,-15,0,-23,-1,40,-1,2,21,2
32DPR0158O,10,40,-28,8,-18,-25,15,-19,-12,2,-20,-5,1,-9,8,55,4,-5,-7,4,2
32DPR0243L,-5,-18,-17,3,1,6,0,-2,16,3,1,5,6,28,-12,19,-11,7,6,-4,11
32DPR0220A,-6,-11,0,25,-22,1,-2,-5,2,2,-44,16,24,12,-18,-4,-27,-49,-27,27,-8
32DPR0135D,-4,1,-3,0,-17,3,9,0,-3,-4,-2,-1,-11,-1,-3,1,28,3,12,2,-1
32DPR0571E,5,-7,-1,-6,-2,4,-4,2,-3,0,1,1,1,0,1,4,-2,-1,-2,-3,-2
32DPR0486H,-3,-6,1,0,3,1,5,-3,0,-9,-2,-5,-3,4,-2,1,1,12,-1,5,6
32DPR1441S,-15,-6,0,-6,0,-19,-1,1,-5,2,2,2,-2,-1,2,1,0,4,-8,3,5
32DPR1356V,-1,-3,-1,0,0,1,0,-1,2,-4,2,-1,1,1,-1,3,0,-4,7,1,4
32DPR1114Y,-4,-3,-3,-11,-6,-4,-6,1,-1,3,0,1,-6,-5,2,-10,5,8,3,-2,4
32DPR0377A,16,-5,12,4,19,-16,-8,0,5,-7,1,-5,0,3,-8,0,-5,-2,1,14,-18
32DPR1332L,-14,4,-1,-1,2,4,-6,0,-11,2,-5,-5,10,9,-3,-7,1,2,-2,-6,-4
32DPR1247O,-3,0,-9,2,-4,0,2,1,-2,-3,0,0,0,4,-2,1,-1,-1,-1,-1,-4
32DPR0461Z,-12,5,-17,-19,-17,5,0,-6,8,27,-9,7,-8,7,-7,-5,41,9,10,-9,-6
32DPR0351T,16,-3,0,-2,-1,5,0,3,-3,-2,-14,-6,6,0,-4,0,0,1,-1,1,-2
32DPR0906A,0,2,-6,1,1,-3,1,-2,0,0,0,0,11,3,0,-3,7,-3,-3,7,-1
32DPR1223E,2,8,6,-9,-1,20,25,4,-3,9,5,9,-35,-8,-6,5,0,5,7,2,19
32DPR0484J,-7,-7,-3,12,5,-3,-5,12,5,4,16,4,17,-6,-6,-7,30,24,11,5,11
32DPR0399M,2,1,4,-8,1,-3,-12,4,-9,3,2,2,1,-1,1,3,-3,-7,4,-6,2
32DPR1113Z,3,-11,-9,-11,-3,4,-5,9,-3,12,3,4,-20,-9,-4,-1,3,2,10,9,-4
32DPR2449R,8,56,-18,16,-8,12,1,0,29,32,-9,16,6,27,-2,3,24,-15,17,-3,19
32DPR0157P,-7,10,6,-15,-9,-6,-14,-11,-2,3,-6,0,11,4,1,-1,12,7,0,-6,8
32DPR1029A,-8,-9,-1,-5,-1,1,-2,-4,3,-2,-2,-2,11,-1,-11,5,2,4,-5,-4,4
32DPR0242M,-9,-6,-6,-4,0,0,-3,2,-1,-1,-2,0,9,-3,0,2,-2,-1,1,-1,1
32EPR0077C,1,25,-13,-24,-11,17,5,23,20,33,-19,23,8,-6,-10,-4,-8,-25,9,-31,1
32DPR1682Q,1,-1,-11,3,0,2,-15,-1,1,-1,4,0,-3,-2,-3,-2,3,5,-6,1,1
32DPR1004S,-6,7,7,-4,3,-1,0,-2,-9,1,-10,-3,-3,6,-2,-2,3,4,-5,-4,1
32DPR0376B,8,-5,-26,-2,1,8,-3,1,-5,7,8,8,-7,1,5,-3,3,2,-10,-2,-1
32DPR2426G,4,-4,4,-3,1,-2,-5,0,2,0,1,1,0,0,-4,0,2,-4,3,-1,1
32DPR0134E,-11,7,12,4,18,0,3,-9,-1,0,-2,-3,0,-3,-12,2,-6,2,-3,6,8
32DPR1573J,-3,-12,0,-11,-1,-3,-5,-2,1,0,2,0,2,1,-4,1,7,6,-2,-1,2
32DPR1488M,13,1,4,-1,-8,-22,1,4,0,-1,7,-1,-12,-3,-7,-4,-1,0,6,-6,5
32DPR0024Z,0,3,1,-2,-1,-2,4,-4,11,6,-1,5,-12,-5,-5,-9,-4,7,3,-4,-2
32DPR0460Z,4,1,16,-21,-3,-3,-2,-17,-6,10,9,9,-10,-7,-3,-3,8,3,-3,-2,17
32DPR1246P,-27,-13,2,-11,-6,3,-5,1,9,6,-8,2,6,-5,1,-3,-6,-3,2,2,-11
32DPR1331M,-5,-4,-1,0,-14,-7,2,-2,-12,-4,0,-6,2,3,4,-4,-2,-2,3,-2,-1
32DPR0156Q,5,-3,-9,-4,-3,-3,-5,1,4,-2,-5,-1,-1,3,-10,-4,-2,-1,1,-1,-1
32DPR1379F,-1,-2,6,-5,1,1,-2,-1,0,2,0,1,2,2,-1,-4,7,-6,-7,-1,1
32EPR0053T,1,-12,8,0,-13,8,24,3,16,21,1,18,-35,2,1,-10,-13,8,-12,44,9
32DPR1137I,-9,-4,2,-1,-1,-1,-13,2,1,-1,-4,-3,3,2,1,0,-1,-3,7,-9,2
32DPR1222F,0,-29,6,-21,3,19,-5,3,-8,1,-19,-6,6,31,3,37,28,13,18,35,-8
32DPR0132G,0,2,9,-3,4,-4,0,1,-4,-1,-3,-2,-4,3,3,-1,5,-4,-1,-2,-1
32DPR0047J,21,-5,2,-30,28,34,-13,0,7,41,-9,16,-53,0,1,27,8,27,11,9,-5
32DPR1112Z,-2,-2,-5,1,-3,0,0,0,1,-2,-5,-5,11,7,3,7,7,11,16,-4,0
32DPR2317Z,-3,5,1,-2,-3,2,-8,3,2,1,5,1,0,2,-5,-3,-1,-6,0,-2,-2
32DPR0398N,-21,-3,-1,-8,1,5,16,10,-12,9,0,-2,18,7,-1,-1,1,5,-5,4,12
32DPR0483K,2,8,31,7,13,17,-3,25,-1,-2,-9,-9,-1,-21,4,15,5,-10,-7,1,0
32DPR1028B,-3,-6,7,-11,1,-1,-1,-1,3,2,-3,0,2,6,0,-3,0,-1,1,-6,3
32DPR0375C,3,1,10,-13,-23,-11,-3,-2,-3,22,-4,9,13,-7,2,-24,16,4,-6,24,-17
32DPR2427F,0,1,6,-4,-6,5,0,13,4,4,13,4,6,-1,3,4,8,-1,11,-2,-10
32DPR1245Q,-11,-29,-5,10,23,4,-13,8,-7,19,-6,8,-11,16,4,3,-9,29,-1,14,-4
32DPR1330N,-2,-10,-3,1,2,-4,-10,-2,0,0,-13,0,7,5,-1,2,0,0,7,-4,-4
32EPR0078B,-10,-24,-18,-18,-1,-4,3,20,-14,-5,11,-3,4,-11,-17,-18,-11,-9,13,1,10
32DPR0133F,-12,5,3,-4,0,4,1,1,-1,0,0,0,0,-6,-4,2,1,-3,-3,1,5
32DPR1269Z,3,-8,8,1,3,0,3,-3,-6,2,1,-3,-4,10,0,-4,-1,-18,1,0,5
32DPR1596U,-3,-12,3,-2,-3,-2,-1,-1,1,2,3,3,1,-6,2,-6,-2,0,-2,2,-2
32DPR1136J,-30,-8,1,-8,4,-10,11,-7,17,7,-8,5,-7,6,-11,6,-4,-7,5,-15,-9
32DPR0023Z,-3,1,5,-8,-2,-3,-1,-3,0,-4,-7,-7,15,-6,-5,0,0,2,6,2,3
32DPR1221G,-9,-6,-2,1,2,-10,-1,2,-5,-7,-6,-7,12,0,8,0,-5,-2,8,6,2
32DPR0350U,-5,-3,1,3,2,-4,4,5,-9,0,2,-1,-3,-12,2,0,2,-2,10,11,-1
32EPR0162Z,12,-3,19,-28,-21,15,3,12,16,13,-22,5,-10,-7,-15,-2,-3,4,-5,-3,9
32DPR0466U,2,-5,-13,2,0,1,-1,-1,1,-1,-1,-1,6,-4,0,0,2,4,-4,4,-16
32DPR1338F,-30,0,3,-15,-8,22,8,2,-5,-4,-21,-10,-1,5,-8,-1,0,-5,-17,-4,7
32EPR0010V,5,26,18,-31,-41,28,59,31,-28,-30,-51,-51,34,-5,-49,-24,40,-22,-16,2,-2
32DPR0551R,-2,4,3,-9,-3,-5,-1,-2,7,-3,-1,1,5,5,0,0,-13,6,3,-1,3
32DPR1774G,-2,27,54,29,14,20,9,18,-12,23,0,15,-40,-16,-17,-2,-2,19,2,3,22
32DPR0139Z,1,-1,11,-12,7,1,2,-3,-3,-6,-3,-5,-3,-2,4,7,-9,-6,9,-3,-2
32DPR0224X,-12,-4,2,4,-6,-3,6,3,2,-1,1,-1,-5,5,-2,-6,-1,3,4,-4,-8
32DPR1689J,-7,-6,-6,-2,-5,-4,-8,3,8,5,7,5,10,-8,-3,5,11,2,0,10,1
32DPR0442K,6,5,0,-3,7,3,0,-4,11,-1,-3,-3,10,1,-22,-9,4,-7,0,5,-11
32DPR0357N,-14,-1,2,-5,-7,-7,-4,0,-8,-2,-5,-4,2,1,0,-2,-1,-1,-1,0,-1
32DPR0200N,-17,-2,-10,-14,-28,-10,7,-4,0,-20,-6,-16,-1,-14,23,23,3,10,21,-20,-24
32DPR0115Q,-27,9,-24,-5,-23,8,32,-30,-4,-3,47,-21,29,5,21,15,-10,22,11,9,-5
32EPR0058O,-2,-2,0,-5,-2,-7,-17,2,-3,14,-7,4,13,-3,-14,-19,-12,3,5,14,-4
32DPR2249T,-7,3,39,12,-6,-11,37,19,0,-4,2,-2,30,-26,9,1,37,-16,-2,1,6
32DPR0770D,-6,2,-1,-1,-2,-4,3,2,3,-3,27,-4,8,-6,-7,5,7,-4,-4,-1,10
32EPR0035D,-15,-6,-3,-10,-6,-7,0,16,1,-4,-1,-3,-6,0,7,8,-10,-10,3,2,4
32DPR0249F,-6,-7,3,-4,-5,0,4,8,-7,4,-1,2,-10,-4,-5,7,-7,3,1,-1,0
32DPR0334C,-22,-14,-13,-1,2,2,-6,3,-6,-17,-3,-12,13,-2,3,-6,-3,-1,6,-11,0
32DPR1313X,-16,-3,-7,-2,-3,1,-13,-12,2,-4,5,-1,9,2,3,1,3,-2,10,-4,-4
32DPR1228Z,-17,-16,-14,-12,-17,-22,7,6,8,-6,14,1,0,4,-33,3,0,-7,8,-4,-7
32DPR1531K,1,2,4,-2,-2,-3,-2,5,-1,-3,6,-2,0,-6,0,0,0,-1,1,-3,-3
32DPR1446N,105,-17,-2,-18,-11,-2,-7,-20,-12,-10,5,-19,13,8,-3,1,-6,10,-4,5,-4
32DPR1882O,-7,-2,18,-8,4,6,0,-7,15,6,10,7,-7,6,-4,-17,6,17,-36,-13,5
32DPR1204Q,0,-1,-3,1,-2,3,2,2,1,5,-7,4,7,-7,-8,0,-2,0,3,-3,3
32DPR0550S,-1,-1,4,-7,0,0,4,0,-5,0,1,-1,2,-5,-2,-1,0,1,1,4,-1
32EPR0168U,-1,1,-1,-1,0,-4,1,0,0,0,3,-1,10,-5,-1,-5,1,1,-6,2,0
32DPR1337G,-5,-38,-13,-14,-3,5,-3,2,-11,-6,-5,-9,11,0,1,7,-5,-5,3,6,-6
32DPR0223Y,-5,-16,-1,-1,-3,-5,-4,4,0,-2,-12,3,6,-5,1,-2,3,2,0,3,-6
32DPR2444W,-3,13,-2,8,26,-11,0,24,13,-11,-8,-8,1,11,-17,-11,5,21,10,-2,7
32EPR0011U,-27,-18,-22,-38,6,-13,20,1,-25,30,-4,-3,-82,-7,-27,-20,-45,-16,-11,-16,-19
32DPR0465V,10,0,-6,-4,0,-5,-2,4,1,2,-2,2,-8,6,0,-11,-4,5,-1,-5,-3
32DPR2359Z,4,0,1,-4,0,6,6,1,-1,0,0,0,12,-3,-10,0,-1,0,-6,5,4
32EPR0059N,13,-34,26,1,25,54,3,10,38,0,2,2,-74,-31,-7,-14,2,13,-20,-23,-13
32DPR1664A,-23,-2,-25,0,-16,11,0,-5,-3,15,-15,2,-23,27,-22,-11,7,-13,5,0,-30
32DPR0683I,4,-2,-3,3,-3,1,-2,-13,-2,-2,3,-5,5,4,-2,-2,-1,0,0,4,0
32DPR0114R,-9,-17,-7,-1,-10,2,-2,-11,2,2,21,20,-28,6,-13,12,6,4,11,6,-8
32DPR0029U,-8,-5,-7,-17,20,-12,2,-3,5,1,21,7,11,12,0,15,-19,-9,-5,2,-5
32DPR2420M,21,27,3,2,8,5,5,-19,12,5,14,8,2,-9,-7,-3,1,-6,-4,4,11
32DPR0441L,-24,-4,-1,-6,4,-3,0,-2,-3,-6,-20,-20,27,-11,3,0,23,-2,-4,3,-4
32DPR0333D,3,0,-9,6,13,7,-8,2,3,-4,-9,-9,4,2,-4,-1,2,2,-4,-1,-2
32DPR0684H,-7,-8,1,-6,7,-2,0,0,1,-4,4,-2,8,-9,-2,-6,1,-3,-5,3,1
32EPR0036C,11,12,35,13,-30,4,-11,26,13,2,-8,4,-2,-17,-13,3,-3,23,-16,9,-9
32DPR1469Y,-11,-1,1,-1,-3,-1,-1,3,-5,0,-1,-3,6,-2,0,-1,3,1,-3,-3,-3
32DPR0575A,5,-1,1,-2,0,-1,1,3,-2,1,-6,-2,8,-6,3,-3,22,-6,-4,1,3
32DPR1445O,-19,-3,-8,-15,-13,-14,-10,-10,18,19,13,17,-19,-14,-24,6,-2,11,-23,-5,-2
32DPR1530L,-11,-7,1,-8,-6,-1,-9,-10,-7,-3,-5,-7,-5,29,-5,0,-1,-6,-4,11,-5
32DPR1118U,-15,-12,-5,-4,1,3,-8,0,3,-2,3,0,-8,-1,-1,-4,0,4,0,-12,-7
32EPR0056Q,-8,25,66,-57,18,47,-34,-1,-16,17,-23,1,10,-3,-22,-27,-17,15,26,-20,-23
32DPR0113S,7,-1,10,-26,-1,-7,13,-2,0,4,-7,4,-18,-5,-9,3,-5,0,11,15,4
32DPR2445V,25,-6,5,-1,16,-18,3,5,4,5,-7,7,-9,-11,-9,-12,1,-1,1,-2,-6
32DPR1421E,3,2,-5,-3,4,4,-1,-5,1,0,0,0,0,-1,1,0,2,0,1,8,3
32DPR1009N,1,0,-13,-4,1,-2,5,-3,-1,3,-3,1,-2,1,2,-6,4,6,-3,2,-3
32DPR1311Z,-6,-7,8,-2,4,4,-1,-1,-1,-8,0,-4,0,-3,-4,11,1,14,-2,14,-3
32DPR0004L,-2,-16,3,-9,8,3,-8,5,12,-16,1,-11,20,-2,7,-7,-1,-3,1,-3,-3
32DPR2203Y,-1,-8,12,-5,-1,4,-1,-2,-4,1,-1,-3,6,-2,-3,-1,1,-6,-1,8,-9
32EPR0032G,-14,-21,-9,0,-10,-4,-6,4,13,23,-5,9,-13,-1,22,-1,26,-2,9,4,-4
32DPR2421L,-1,4,-5,0,2,-2,-5,-2,1,2,0,1,-3,0,1,0,-1,0,1,-3,1
32DPR0440M,43,49,-4,13,-30,-17,-11,2,20,1,5,10,-2,-28,-31,-14,-11,-4,1,-6,7
32DPR1227A,-6,-1,-5,-2,0,0,-1,-3,6,2,-1,2,-5,3,-1,2,1,1,2,-5,-5
32DPR1202S,-1,-4,-3,-4,-4,3,-4,0,-1,0,-3,-1,9,-4,1,-2,0,-1,0,-1,-3
32DPR0489E,16,-7,-25,-1,-24,5,-23,10,-1,0,1,1,-9,3,-8,0,-7,7,4,7,-6
32EPR0033F,-10,-17,2,-7,-2,4,4,-4,13,12,7,12,-3,-4,-24,10,5,12,-1,0,12
32DPR0574B,-12,0,6,0,14,-24,1,-2,-8,5,4,4,2,-1,-11,-12,9,4,3,2,-2
32DPR0247H,-13,-3,-15,4,3,14,14,-3,1,-1,8,8,-4,-1,-9,-5,-7,10,2,-9,-2
32DPR0005K,6,36,6,14,2,3,6,1,-10,-22,-6,-16,17,5,11,-12,26,5,3,9,3
32DPR0332E,-2,-9,-12,-11,5,-2,-20,9,12,-41,15,-9,29,-11,-7,10,-3,1,-14,0,-11
32DPR0222Z,-3,-2,-4,-8,1,-3,-7,-2,-6,5,-2,2,-2,3,-7,2,-1,-2,-1,-2,-1
32EPR0165X,1,13,-3,21,32,23,16,26,34,11,-15,-15,45,8,-20,1,-16,3,7,16,0
32DPR0138A,2,16,4,-14,1,3,-1,-5,4,1,5,2,-7,-8,-8,-1,-8,-8,-9,5,-4
32DPR1359S,3,-6,-7,-6,-1,-2,1,0,0,0,2,-1,1,-6,5,-2,-2,-2,2,-1,-2
32DPR1444P,-2,-7,-4,-11,-2,-12,-5,0,1,-3,0,-2,21,-7,-8,-7,9,-1,3,-9,8
32DPR0790R,-14,-1,1,-18,5,-2,-2,-1,-2,4,-8,-2,-2,-1,0,-6,-1,-3,2,-1,4
32DPR0112T,2,9,-9,4,11,-6,1,2,-49,-9,5,-17,26,10,13,-5,3,-11,2,-15,-4
32DPR2446U,6,3,22,16,9,13,-5,-13,11,6,4,-1,21,8,1,-4,15,-1,1,8,22
32DPR0378Z,-2,-1,-3,2,-3,-2,1,2,-10,3,-1,-2,17,-8,-9,3,1,1,6,-2,-7
32EPR0166W,-12,8,-5,4,6,-3,-4,0,10,-9,-5,-5,20,-8,-7,-6,11,-5,-6,-1,-1
32DPR1420F,4,-4,-4,-1,-6,-2,0,-6,1,2,0,1,-3,7,-4,-2,-2,0,-2,-5,0
32DPR0681K,21,10,-23,-5,5,10,6,-1,-10,24,1,16,-22,-6,-6,-9,6,2,3,1,-3
32DPR2422K,39,-19,14,43,25,14,17,13,-4,21,6,8,11,18,26,0,26,4,34,8,26
32DPR0003M,-3,-9,2,-10,-26,25,16,11,-9,-19,-17,-17,-11,-13,1,-21,13,-5,-5,-19,11
32DPR0330G,-18,-3,-3,2,5,-3,-2,4,-1,-6,-8,-8,3,0,3,-8,7,-5,6,-6,6
32DPR1310Z,-10,-3,-2,-1,0,0,0,1,2,-4,3,-1,4,-1,3,-1,1,2,-3,2,-7
32EPR0057P,-6,-12,20,-12,-7,7,6,-13,35,25,-25,7,16,-8,-9,-6,21,-18,-7,-26,-25
32DPR1226B,-12,-2,-3,-10,-14,-7,-1,5,1,5,6,6,-6,-6,-18,3,2,-6,7,5,4
32DPR0488F,9,9,15,-8,4,-2,-16,5,-12,-1,4,-6,-6,-10,0,-4,-1,9,-4,1,-5
32DPR1358T,-55,-5,2,-42,10,-10,-2,-1,7,1,-6,3,-15,28,0,25,3,2,40,-4,-6
32DPR1443Q,-6,-8,-7,-6,-19,-8,-5,-2,7,3,12,6,-4,1,3,2,-6,-3,-1,4,7
32DPR1201T,-2,-7,-17,-12,-6,-10,-7,-4,-1,-6,4,-4,-4,-3,16,3,4,3,-1,-4,-4
32DPR1116W,-5,6,0,0,-2,9,-6,-2,4,-5,4,-1,-3,0,1,4,23,1,-10,-11,4
32DPR0246I,0,-11,2,0,-4,1,-6,-2,2,-1,-4,-1,-2,-6,0,1,2,1,-2,-1,5
32DPR0331F,-9,-10,-4,-10,-9,4,-9,1,0,-9,5,-6,4,-1,4,-1,2,3,-4,-1,-5
32DPR0573C,-9,-8,1,-10,-5,-8,-2,0,3,3,9,9,-5,-1,-7,-7,1,9,-3,-3,1
32EPR0034E,-16,5,5,-16,-7,-5,4,-5,5,5,-15,-1,6,-5,12,19,4,-20,-24,-3,6
32DPR0221Z,-1,-9,4,-1,1,-2,4,2,-9,-5,-1,-5,3,-2,0,-1,1,-1,0,5,-5
32DPR1249M,-7,15,0,-9,11,18,26,12,11,17,-8,19,-12,3,-16,4,7,75,32,-1,19
32DPR1334J,-3,-15,-3,-5,-3,3,-1,1,-5,-2,-5,-3,1,2,0,1,-1,3,-2,-1,1
32DPR1007P,3,-4,2,-1,10,2,-1,5,-9,-10,-2,-10,8,1,-4,7,-1,0,-2,-6,2
32DPR0463X,-9,-11,-2,-17,6,2,-5,8,-13,-9,-12,-10,12,9,-3,-2,6,-3,-3,0,-4
32DPR0137B,0,10,9,11,-22,-1,-9,3,3,16,4,9,-9,-18,-10,-15,-11,-10,-16,-2,-9
32DPR2314C,5,4,-3,-3,-3,-3,-2,0,-7,-5,-1,-4,0,3,0,-1,-1,5,-8,0,4
32DPR1209L,-1,-4,5,-7,-17,-6,-1,-2,-9,2,-4,-4,6,2,-4,-1,1,-3,-3,-1,1
32DPR2407S,57,65,-12,26,4,39,-4,-9,-18,1,0,0,-16,-12,-16,21,-4,9,-4,-5,-3
32DPR0422X,-6,-23,37,8,21,-27,-18,-18,-16,-8,-16,-12,0,-12,-40,-14,0,-10,25,-14,-5
32DPR0664U,-2,-10,-3,-5,-4,1,-1,3,-2,-6,-2,-1,0,2,3,-1,5,6,9,-1,-3
32DPR0337Z,-2,0,1,-2,-1,-1,-5,4,3,12,-3,7,-11,1,-6,4,1,0,3,-5,-4
32EPR0014R,5,7,4,1,-3,-25,17,34,11,6,20,8,-38,-5,-5,-15,-3,-19,-12,-7,7
