cct,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32DPR0640K,-3,-12,-3,-2,11,-5,4,1,1,1,1,1,-3,-14,-2,1,-2,5,2,-1,5
32DPR0555N,-1,-12,2,-13,-7,-5,-14,-7,7,-6,1,0,8,11,5,8,6,9,5,4,-8
32DPR0313Q,5,-11,1,0,-1,-2,5,-3,12,-2,-9,6,-2,-4,0,-7,0,-1,2,-1,-1
32DPR0228T,-3,-1,-3,-2,3,4,6,-13,2,0,-2,-3,-3,7,2,6,-2,-1,-5,-9,-7
32DPR1668X,1,-7,-28,-3,-11,-15,-19,1,-1,9,-10,4,-28,-5,16,7,14,13,-30,-37,-33
32DPR0798J,-8,4,0,4,-2,0,1,0,1,-4,-3,-3,6,-13,-1,8,2,-5,-1,0,6
32DPR1090E,-10,-5,3,3,-7,2,-11,-14,5,2,-6,-4,-2,7,-14,0,-2,6,-6,9,-15
32DPR0205I,-84,18,-19,-7,-20,-11,7,-18,7,-8,2,-5,1,2,1,5,4,-4,-5,3,22
32DPR0532C,4,-10,-6,-4,-10,-1,-3,6,-4,-6,2,-2,-2,4,4,-5,4,2,-9,0,-3
32DPR1426Z,-10,-1,-4,1,9,6,-6,6,18,1,15,5,-16,-5,9,4,-13,-3,13,2,-2
32DPR1511X,-1,-3,-2,-1,-5,0,4,-1,0,-9,6,-3,-3,-2,-4,1,-3,0,-2,-1,2
32DPR0689C,3,1,-2,-18,-13,-6,-6,2,9,-3,5,-1,-4,2,1,0,-7,15,4,8,2
32DPR1402Q,-10,-24,24,-28,14,-13,-2,-14,-27,15,-17,-12,22,29,7,-6,15,-9,7,-6,-8
32DPR1317T,-4,-3,2,-8,-3,5,-4,0,-6,4,-2,-2,0,0,14,-1,8,8,5,-6,-8
32DPR0663V,-6,-24,-13,-16,-12,-9,-18,-6,-4,6,4,4,-6,0,13,-12,4,8,1,-1,-9
32DPR0578Y,2,0,7,-12,-1,10,1,-1,-3,7,-18,10,-44,12,8,1,12,14,1,-17,-37
32DPR0421Y,5,2,15,3,1,2,-5,4,-12,-7,13,-2,-16,-7,-1,4,5,2,7,-9,-8
32DPR1208M,-24,-38,-12,-11,-6,5,-9,28,9,-4,-30,15,-13,-22,-36,7,7,3,9,12,14
32EPR0124X,-39,4,7,-21,-16,32,10,-16,14,9,17,11,-32,2,-13,-12,-14,6,-20,-1,-5
32DPR0554O,-5,0,8,-7,-9,-4,2,1,2,3,9,9,-9,1,8,-4,-3,-4,-6,-3,-2
32DPR0312R,13,-21,-1,0,-14,-33,-7,7,-6,-13,-2,-10,8,9,12,7,13,-1,2,-11,-12
32DPR0796L,-16,-17,-18,-6,0,-4,-5,5,2,-3,-7,1,-2,-1,2,15,-4,0,-8,-8,11
32DPR0881I,6,1,-4,-1,2,-1,-8,1,0,-1,-3,-2,-1,-4,-1,-2,-1,1,0,2,-3
32DPR0227U,9,-16,-13,15,-18,-31,-9,0,-17,10,9,9,-15,-2,-29,-6,32,5,-29,3,-7
32DPR0469R,-9,-1,-2,-5,-2,4,-6,-3,-8,-5,2,-4,-6,-2,1,-5,2,1,-4,4,0
32DPR0446G,0,5,-2,-3,3,0,-4,-1,0,0,1,1,0,2,2,-1,1,-7,4,-4,1
32DPR0882H,3,10,4,-2,1,0,-3,0,0,0,-1,-1,2,3,-7,-3,1,-8,1,1,2
32DPR0797K,-5,-2,-2,-10,11,-21,-4,29,3,2,0,5,11,-4,16,1,-5,-5,3,2,-5
32DPR0531D,2,5,-1,-2,7,0,0,0,-7,-1,-10,-4,3,-1,-4,1,-3,-1,3,0,-2
32DPR0119M,6,-6,-2,5,-3,-3,2,-5,2,2,0,-1,10,-2,0,8,22,7,-8,-3,-2
32DPR0204J,-14,-11,2,1,-35,-6,-22,52,-26,26,12,0,-16,-8,19,5,-18,-5,-7,1,-19
32DPR2409Q,13,1,15,0,7,6,2,9,10,-1,-5,-5,21,-9,-10,7,7,11,0,-1,0
32DPR0773A,-31,-16,-24,-11,27,16,-14,35,13,-17,8,10,-33,-28,21,7,-12,3,-4,-13,3
32DPR0688D,-3,6,-2,12,-10,13,4,-4,2,0,-11,1,-8,13,-7,-2,3,16,-21,-18,-9
32DPR1401R,-24,-28,-19,-9,0,-22,-4,-1,-1,-2,-1,-2,0,-1,-1,12,6,8,-1,10,12
32DPR1558R,-10,-10,10,-11,-4,1,-2,9,-1,1,1,1,-14,-3,-14,-3,4,-7,2,-11,6
32DPR1316U,-10,-15,-10,6,0,0,-7,-5,3,1,-2,-4,8,-4,-2,-23,-2,2,-4,1,-7
32DPR0577Z,-2,-5,0,-4,-2,-3,3,-3,2,0,-2,0,2,1,0,3,0,-1,-2,-1,-2
32DPR0662W,-4,-7,3,-9,-6,-4,0,-2,-9,3,2,2,-3,2,3,-1,2,-4,5,-9,2
32DPR1861B,4,8,-13,4,-24,-7,-23,2,16,5,3,3,-6,4,3,20,19,11,0,-7,5
32DPR0226V,6,-26,0,-13,-15,2,6,3,-11,0,0,0,2,-3,-9,17,-17,-8,-1,6,1
32DPR2097E,-18,5,-8,-4,0,-13,-11,-19,23,-4,-7,4,3,-2,-18,18,2,-11,16,-4,7
32DPR0553P,-9,-5,2,-13,-8,8,-10,-11,12,-3,7,0,-7,-2,-7,-6,-4,-2,8,2,-1
32DPR0202L,-13,1,1,-22,-28,5,34,7,18,9,8,8,-12,-6,-12,-2,10,4,9,-14,-16
32DPR0117O,-4,-3,-10,-6,-14,-8,-6,-4,-8,-2,13,13,-16,-2,-2,16,-4,1,8,11,-5
32DPR0880J,-1,-12,-20,-71,17,12,1,-3,11,-9,-13,4,-5,-14,-23,0,12,17,-26,0,17
32DPR0795M,2,10,-15,-4,-12,-10,-6,-12,-3,18,-1,11,-17,0,-7,12,0,3,-8,2,7
32DPR0530E,5,-6,0,-3,4,-3,-8,-7,3,-7,2,-4,-2,4,1,2,1,0,4,0,2
32DPR1400S,-3,20,-5,-5,-8,10,-5,-2,7,-3,2,-1,-4,-7,2,16,-5,3,-9,10,7
32DPR1315V,-10,-7,-11,-12,1,4,-5,-3,1,-7,0,-1,1,3,7,0,4,3,2,-11,5
32DPR0772B,-19,22,7,-4,12,11,47,-21,25,-6,5,9,-17,-7,12,-10,-2,8,-12,5,-14
32DPR1751W,-7,-12,7,-36,15,-6,-4,10,-9,-15,22,-12,-15,2,-6,-39,-3,7,18,-11,1
32DPR0687E,-5,-14,-21,-25,2,-3,-8,25,17,5,-28,4,-48,-22,-38,2,12,12,15,-3,-12
32DPR0118N,-4,-5,-9,7,-14,-1,-4,1,0,2,8,8,-12,5,7,-3,2,1,2,0,-8
32DPR0203K,-27,6,-6,3,-23,-13,-4,-2,4,-11,7,-4,11,-9,-8,-20,-7,-5,0,-2,2
32DPR0445H,0,-4,-11,-4,-3,-3,2,-10,-5,-4,-4,-4,8,6,4,-2,1,4,0,-9,1
32DPR1993T,0,-8,5,-2,-5,-1,-5,1,-1,0,-1,-1,-15,-16,1,3,-4,-1,1,1,-6
32DPR1884M,-8,1,3,-5,0,-3,1,-10,4,-1,6,1,-7,2,-1,-6,-3,0,1,-4,-1
32DPR1206O,-4,-10,2,-4,-9,-1,-9,-6,-1,-1,5,4,-4,-4,-1,8,1,-9,11,2,-13
32DPR0420Z,-3,6,6,-7,-4,-5,-6,-9,-4,6,5,4,-4,2,-5,-7,4,3,2,-1,4
32DPR0310T,-16,-6,1,-1,-19,5,-2,-12,9,-1,-3,-2,-6,-10,8,-12,6,11,-1,-3,-8
32DPR0225W,-23,-11,-12,-9,2,8,-1,3,-2,-6,3,1,-12,4,-10,7,5,3,-8,7,3
32DPR0467T,6,-3,-1,2,-1,-1,0,-1,2,-2,-1,0,-2,-2,-7,-1,-2,0,1,3,5
32DPR0552Q,-12,-7,-12,-17,10,-5,10,-1,6,-2,6,0,0,15,-9,-25,-10,31,29,13,-20
32DPR1448L,-12,-31,-25,-13,-4,0,0,0,1,-7,5,-3,6,4,-3,-3,-9,-4,0,-2,-11
32DPR0794N,-8,-12,3,4,-43,6,-4,-22,-27,21,22,22,14,-12,-25,-17,24,-28,-15,-31,8
32DPR0201M,-10,-3,-13,-11,-12,6,-14,1,1,-4,6,-2,-5,-19,3,9,2,3,6,-4,-5
32DPR0116P,-22,18,7,-8,-6,1,-10,-3,-18,21,-4,12,-17,-10,8,0,14,6,7,7,-4
32DPR1750X,-2,-18,-3,-10,-20,-2,11,-9,-6,-20,9,-9,1,-8,-8,0,15,24,1,20,-4
32DPR0358M,-4,0,-5,1,-2,1,-10,-7,0,0,0,0,10,-5,0,0,-1,-1,3,-2,-1
32DPR0443J,-4,10,10,-16,-4,0,1,0,0,0,3,-1,-5,1,3,-1,-4,-4,-10,0,-3
32DPR1339E,-3,4,-4,10,-3,2,3,-5,7,-2,6,0,-9,-1,-6,-1,3,-2,2,1,5
32DPR1424B,3,4,-7,-5,2,-1,1,-2,2,3,-2,1,-7,2,5,-1,-1,-3,1,-5,0
32DPR1229Z,-23,-23,-17,-6,-22,1,4,9,3,-9,14,0,-3,-6,5,1,2,-3,-8,-5,-5
32DPR1314W,-20,9,-5,1,-9,10,0,-4,17,-8,0,2,-14,-3,-2,6,0,12,14,0,-3
32DPR0444I,4,-1,2,-5,-4,7,0,-1,-3,1,1,1,-2,0,-2,5,-1,5,1,-1,-3
32DPR0359L,-5,8,-8,-5,8,-9,2,7,3,-1,-6,2,-3,-9,1,7,2,-5,4,0,-3
32DPR0771C,-5,2,-2,-1,4,2,1,1,1,3,-1,2,0,-3,-9,6,-5,-4,-2,-4,9
32DPR0686F,-15,-8,1,-5,-8,-16,-3,2,16,-4,10,0,6,-4,-1,4,-22,-15,-10,3,-4
32EPR0122Z,-1,3,-3,-5,-11,7,8,-7,-1,20,-10,3,-6,10,-35,1,-1,0,-18,-12,-10
32DPR0661X,-13,6,-9,-10,-1,0,5,-7,5,-1,6,1,-4,-2,0,0,-14,5,-3,0,1
32DPR0335B,2,-7,-1,-6,-1,-5,-5,7,3,-5,-10,-10,15,-3,-7,-4,-7,-3,-2,2,7
32DPR1883N,-12,5,15,-1,19,-3,5,4,9,12,1,6,-13,-2,-14,2,-13,-20,-3,-2,2
32DPR0535Z,-3,2,18,-15,-3,22,-4,-17,3,-11,20,-8,16,-1,4,21,0,1,3,-7,-3
32DPR0620X,-5,-7,11,-12,1,15,-2,-8,11,-2,-11,-11,23,-10,-3,-11,5,-9,-4,3,-8
32DPR1407L,2,-1,-2,0,-1,1,-4,1,-1,2,1,1,-5,1,-1,-1,0,-1,0,-1,-3
32DPR0777X,-27,7,1,-8,10,6,-3,-2,1,1,-4,0,0,-1,-4,1,10,-4,-5,20,-1
32DPR0511Q,-2,-2,-1,-14,-4,-3,-2,-2,0,0,0,0,1,2,-4,-2,0,6,2,5,7
32DPR1070R,-1,-3,4,0,3,-9,0,-2,-15,1,-1,-6,12,2,-5,-2,6,-1,-2,-5,1
32DPR2403W,-1,4,4,-6,2,3,0,2,1,4,-1,0,-6,-1,-1,2,-9,5,-3,-3,-2
32DPR0668Q,-1,2,5,-5,5,0,2,-4,-2,4,-4,1,4,-10,9,-4,5,-2,-1,6,-8
32DPR0426T,-1,-2,0,0,-1,-1,10,-1,-5,-8,4,-7,-8,-9,-1,-5,-9,5,-5,3,-3
32DPR0403I,-9,-1,-4,-3,-2,1,3,-2,-4,1,2,2,-2,2,-3,4,4,-3,2,-4,4
32DPR0318L,-3,-7,1,-9,1,-7,-4,-3,-10,5,18,17,-20,-7,-4,-7,5,6,7,5,2
32DPR0090Y,-3,-1,-7,3,5,-9,4,6,-1,-1,2,0,-3,3,4,-5,2,4,-5,-1,-1
32DPR0996J,8,27,-5,8,-18,2,2,-2,11,4,14,7,20,-10,5,-6,23,18,2,40,7
32EPR0104J,4,2,-6,0,3,4,-1,-5,18,25,11,21,-14,13,33,16,22,24,18,8,-3
32DPR0887C,3,-7,-3,0,-1,1,-2,2,3,7,-3,2,-13,3,3,-8,1,4,-4,0,1
32DPR1094A,-3,7,-8,-3,-4,2,-3,0,4,-4,3,0,-1,12,-3,2,-3,9,10,2,-5
32DPR0209E,-4,-13,3,-6,-15,1,5,1,7,-4,16,-1,-5,-4,-7,-4,7,-7,7,3,-2
32DPR2428E,-2,-1,0,-4,1,0,-9,-7,3,1,-2,2,-2,1,1,-3,0,4,-3,4,3
32DPR1515T,-11,-30,-10,1,-16,10,-6,0,3,-8,-2,-1,-15,1,7,18,5,9,3,7,-12
32DPR0776Y,1,-4,-18,-14,0,-2,-5,-4,0,8,1,5,-3,-2,6,-9,4,-6,4,-8,5
32DPR1406M,1,-1,-2,4,-5,1,-1,0,0,0,0,0,-2,-8,0,1,-2,-4,1,-1,5
32DPR0667R,-4,-15,7,-1,-2,-5,0,-7,10,-10,4,-6,3,-3,-14,3,-3,4,-2,5,2
32DPR1539C,-3,-11,0,9,4,-7,-1,15,6,-6,-4,-4,14,-4,-3,-3,2,-4,-2,-2,1
32DPR0425U,-4,0,3,24,-5,0,-1,-34,0,-1,2,0,23,-5,-6,5,56,-3,3,-5,2
32DPR2319Y,-15,0,-1,0,-3,12,-5,-3,-3,5,-1,-1,9,-6,12,12,3,-2,2,-5,4
32DPR0994L,22,3,-2,-19,2,-22,23,-3,-1,9,-8,3,8,-2,-11,3,22,8,-13,-10,-2
32EPR0105I,-5,1,3,-5,1,2,-5,2,-11,4,7,7,-6,3,3,-4,-3,2,4,10,14
32DPR0995K,10,3,-10,4,-12,-6,14,-11,-5,0,-1,-7,9,-19,-43,-19,-3,13,-1,32,22
32DPR0317M,-18,6,-20,4,-3,0,2,-4,3,-3,0,0,9,-8,-7,-1,0,3,-5,0,-1
32DPR0402J,-4,1,-5,-2,-2,8,11,-4,-1,-13,2,-7,7,-12,3,2,-1,5,-3,7,-3
32DPR0559J,-1,-6,-3,-9,-1,0,-7,-2,2,3,-2,1,1,-6,-3,-5,1,-1,5,2,-3
32DPR0971A,-32,-12,7,-17,-6,-1,27,24,-3,4,2,8,-38,21,4,40,3,25,-13,-5,-13
32DPR1093B,12,17,-10,16,-2,4,0,3,-12,-10,24,-7,-21,10,-21,-5,3,-5,2,-3,13
32DPR2429D,-7,-2,3,-6,1,5,-8,1,-1,6,6,6,-14,3,-1,2,-1,-6,6,2,-5
32DPR0208F,-47,-10,-1,-32,-3,28,8,2,-23,4,8,-8,36,0,-7,-2,12,-21,-41,-1,-5
32DPR0424V,-10,0,-4,-5,3,3,2,-2,-2,-1,-1,-1,9,-2,8,0,-3,0,0,-2,-1
32DPR0775Z,-7,-1,0,-22,13,-4,-1,-1,-12,-2,4,-8,9,-2,-2,-2,-2,2,-1,8,2
32DPR1405N,15,21,-18,28,-33,0,7,4,7,-2,-1,-1,16,-5,-8,12,29,-7,-8,2,-12
32EPR0101M,-16,3,-10,-3,13,-5,21,-9,45,22,4,22,-58,-5,18,-3,-19,4,0,-11,7
32DPR0666S,-4,-9,-6,2,0,-1,5,-4,-1,1,-1,-2,5,2,-4,3,-1,-4,4,-3,0
32DPR0315O,-6,-5,-1,2,-1,-1,1,0,1,0,4,-1,4,1,-2,-3,2,6,-6,-1,1
32DPR0400L,-2,4,7,-5,-2,1,1,0,-3,0,-1,0,-5,2,-2,-3,2,1,2,-3,-2
32DPR0751P,-5,6,-2,-10,-6,-9,-4,-5,-4,3,0,2,3,6,-7,-2,1,-6,4,2,11
32DPR2093I,-7,7,-2,-1,0,-20,13,3,-6,27,-1,6,-33,12,-17,-9,-1,-9,0,-6,-6
32DPR0316N,-9,-21,8,-17,0,-14,-11,-4,-1,7,3,5,-5,9,-12,0,17,17,-15,-9,13
32DPR0401K,-1,5,8,-11,1,-9,15,12,-11,11,-10,5,-7,-7,6,12,-6,5,1,-2,-10
32DPR0885E,-7,-2,0,-1,-1,-2,-2,-9,5,1,8,3,8,-1,-6,-7,4,6,-9,3,-4
32DPR0970B,0,-8,-7,-3,0,0,4,-1,8,7,-4,4,-4,5,-6,2,-3,-2,-6,-4,0
32DPR1404O,-19,-3,7,7,1,7,0,1,0,-4,10,2,-3,-1,9,12,5,-13,13,-14,11
32DPR1319R,8,-6,-7,5,-4,0,-15,-4,-3,3,0,2,-2,2,15,3,5,-5,0,-3,1
32DPR0534A,-8,-16,-3,-5,-2,-11,-2,-9,-1,-2,-4,-2,-2,2,-1,6,4,0,0,1,0
32DPR1092C,0,8,4,-3,4,-7,-4,2,19,25,0,17,9,25,-5,18,4,-3,6,-11,13
32DPR1755S,-4,-8,7,-5,-3,0,-3,3,-2,1,1,1,-1,5,-1,-2,0,-1,1,-1,0
32DPR1840P,23,19,23,-37,-23,7,5,-20,-6,-4,-5,-13,-12,8,28,-7,-2,6,-12,3,0
32DPR0207G,-23,-11,-6,0,-18,12,3,-4,-2,-4,-12,-12,4,1,-8,-1,-3,7,-5,-6,-1
32DPR0423W,-13,-17,-14,-4,3,12,-9,-11,6,1,-5,-4,6,13,-12,-12,-10,-11,-4,9,-2
32DPR0338Z,-24,8,-4,-2,-12,-4,2,-1,4,0,1,2,-2,-2,-2,1,0,-4,1,0,3
32DPR0774Z,-15,14,-1,-8,4,-2,-3,-1,5,6,1,5,3,-3,14,-13,-4,-8,3,-6,-10
32DPR0665T,-7,3,-1,-6,-6,3,4,2,2,-2,4,0,2,1,-3,0,-2,2,-3,-1,5
32DPR0229S,-6,-18,-2,-14,-6,-9,-5,-17,-6,-2,7,7,5,-14,7,33,25,-3,12,19,-9
32EPR0102L,20,30,20,40,9,18,11,7,37,13,25,14,-51,13,-8,8,-14,-2,6,2,12
32EPR0017O,-9,-15,9,7,0,3,3,6,-1,5,-2,2,24,0,-2,-7,-7,-5,-3,8,-1
32DPR0992N,-2,-30,-24,0,-5,9,-15,-12,11,10,9,9,-6,4,-12,-12,-3,-7,-4,5,-6
32DPR0641J,-5,2,-7,4,-1,-16,2,-3,6,-1,4,0,-4,16,-12,3,18,-10,-9,-1,5
32DPR1622B,-1,-2,-3,-5,1,-5,3,-9,-6,-5,0,-4,9,2,-2,3,-2,3,-1,-6,2
32DPR0556M,0,0,5,-3,-2,-5,6,-3,-5,-5,0,-6,8,-7,-7,-3,-7,1,11,3,7
32DPR1512W,2,-6,-1,-1,-8,7,-6,0,-3,0,10,9,-11,1,-7,1,1,0,0,0,-4
32DPR1669W,7,21,-22,-7,-4,27,-10,6,-16,10,4,-1,1,-5,1,65,6,22,-16,-5,0
32DPR0557L,-7,-6,3,5,0,13,4,-8,10,-1,-4,-4,6,-6,8,-3,7,7,5,-1,0
32DPR0206H,-13,-21,8,5,-3,-16,-6,3,-24,-2,-2,-2,16,4,4,6,-8,16,-10,-5,1
32EPR0103K,-31,-22,2,-7,15,-10,-14,-10,-8,8,-9,0,39,8,2,22,-15,0,3,17,-25
32EPR0018N,38,12,4,-30,10,-14,8,-17,38,13,27,17,-3,-12,-7,-30,-7,-4,-10,-7,-9
32DPR0799I,1,-16,3,-7,7,7,-20,11,17,27,1,20,19,16,-10,-8,5,-1,9,-7,16
32DPR1996Q,-3,-3,0,-6,-1,-4,-5,1,5,-6,7,-1,-3,1,7,8,-7,3,5,-12,-1
32DPR1403P,0,1,3,18,31,-13,-1,2,2,-8,-3,-7,-2,1,1,2,-11,6,-6,-4,-1
32DPR1318S,-11,-4,-5,6,-1,1,-1,4,-18,-5,1,-7,7,2,-2,-6,2,0,1,4,2
32DPR0448E,5,-15,-6,0,1,-3,0,-1,1,1,0,1,-6,0,-1,3,-1,0,-1,3,4
32DPR1944K,8,-7,14,-16,1,-3,-2,-6,-3,8,-2,2,7,26,12,-4,0,13,13,-1,-15
32DPR2067K,0,2,4,14,13,4,10,5,14,5,2,2,5,3,-1,2,1,4,7,-3,13
32DPR0721V,-9,-7,-14,-38,-16,-20,6,-10,8,-10,-4,0,15,-1,1,-1,2,-5,-4,2,3
32DPR0082P,-6,-3,3,-1,2,-7,11,-5,-5,0,-4,-2,8,2,2,-1,-3,2,0,-8,1
32DPR2394E,6,25,18,14,22,3,6,14,22,30,37,37,2,-6,-11,-3,29,-3,24,-13,12
32DPR0878V,1,-25,4,0,-3,-3,-12,-24,0,-3,-34,-4,-33,-2,-17,7,-3,-2,-14,-13,-8
32DPR1508J,-2,-1,-4,0,2,-1,0,1,3,-2,4,0,2,-1,-7,4,3,-1,1,1,4
32DPR0527R,-3,-5,2,-3,4,1,2,1,0,1,-7,6,-11,1,-8,0,2,0,0,-4,-2
32DPR0940H,-3,1,-6,3,46,38,18,6,10,-3,-37,-37,71,-14,16,-19,14,-20,2,4,-7
32DPR1725Y,-16,-35,40,24,2,57,17,12,-2,6,19,1,7,-18,-11,19,-10,12,-1,7,1
32DPR0528Q,1,-1,6,-1,2,4,-3,3,4,0,-5,-5,2,3,-4,1,2,1,-5,-2,-1
32DPR0613N,8,4,-1,1,-1,12,-5,-2,1,0,0,0,-5,-1,-2,-28,0,-2,0,2,1
32DPR1171P,-9,-1,-11,8,-20,11,-3,-2,-4,5,-4,-1,-10,12,-3,3,-2,-1,2,4,3
32DPR1086S,-3,4,1,-3,-1,4,-3,-1,5,-2,-2,-2,3,4,-2,-2,0,-2,1,-2,3
32DPR0831A,-20,-18,8,-16,-17,-10,6,-4,-4,1,7,6,-2,-2,-3,-3,9,2,4,-3,6
32DPR0746D,1,-1,5,3,-4,-4,2,1,0,1,2,0,0,-1,-10,-2,-4,4,-3,-4,0
32DPR0504G,-6,-6,1,-1,-4,0,-8,3,-7,-1,4,4,-8,0,1,2,-1,0,4,-8,-2
32DPR0419J,2,-4,-3,3,4,3,-9,12,8,-4,0,3,-6,3,-12,-1,6,-2,-1,-5,3
32DPR0191W,-16,-23,-11,-10,-28,-1,1,-8,8,2,-9,2,-31,5,-20,-1,-9,-5,6,2,-1
32DPR1194Z,4,-6,2,0,-4,2,-8,-1,9,5,-3,2,-2,4,-5,6,3,0,-5,6,6
32DPR1943L,-3,-2,-2,3,-1,-1,1,3,-1,-4,-2,-4,8,-3,-1,-1,-3,0,4,-1,3
32DPR2068J,3,-1,6,1,0,1,-5,1,1,-1,-1,-1,-1,-6,-7,0,0,2,0,0,3
32DPR1858O,1,-11,-4,21,-13,0,14,1,14,5,-24,18,-21,-15,-67,-5,-24,-11,10,-21,17
32DPR0877W,1,-2,-6,-4,-5,6,-4,-5,-7,1,0,0,-8,-1,1,0,2,-2,2,-1,2
32DPR0720W,-2,-9,5,-5,-7,10,12,3,11,1,11,6,-3,3,-8,-8,8,7,7,-6,-2
32DPR2395D,-15,-3,-2,-2,-1,1,-5,-6,4,1,3,1,-3,8,-13,3,-25,-11,11,2,5
32DPR1085T,-5,-9,4,0,0,0,-4,-1,0,-5,0,-3,-7,-11,-4,-2,-1,1,4,-4,-2
32DPR1170Q,8,15,-23,31,19,-14,5,4,0,-7,11,6,-64,-9,6,8,2,3,-7,-4,-9
32DPR1834E,-24,1,1,-5,31,-15,-5,-5,23,8,4,11,-24,6,-13,-29,16,7,-15,-37,-9
32DPR0768P,-5,2,-31,-27,-23,-15,-4,2,11,20,9,15,-35,-1,-20,-13,5,21,-6,-11,1
32DPR0853M,-1,1,1,8,-6,5,1,1,-6,1,1,1,5,-4,3,2,-2,-8,2,-7,4
32DPR0611P,0,0,-4,-14,0,-2,-2,0,-3,-1,-1,-1,1,1,2,5,-7,1,2,0,-1
32DPR1061J,-5,-4,-4,-1,-2,4,3,0,-1,-2,-3,-3,8,-6,-2,1,3,-5,0,1,1
32DPR0418K,6,-2,-23,-25,-1,-18,-7,-14,5,-8,0,-6,24,-4,1,7,2,-2,3,-7,9
32DPR0190X,5,2,-17,-14,-11,-20,-9,-6,25,0,12,12,-7,-3,-10,1,-1,9,3,-4,-16
32DPR0503H,-25,-19,-23,4,-17,-19,-6,4,-3,-19,0,-11,10,7,-7,-7,-17,-1,11,-1,-1
32DPR1700P,-6,-8,0,1,-2,0,2,-1,4,-5,-2,2,-1,0,5,6,4,2,4,1,2
32DPR0309D,-22,-2,2,-1,-5,-8,-3,-3,-8,5,8,8,-2,-4,-3,-10,-1,-2,-2,-1,0
32DPR0745E,-2,-7,1,3,1,-1,-4,0,0,0,0,0,-3,6,-19,5,-7,-1,2,-4,3
32DPR0634Z,2,-5,-15,3,-2,-5,-3,-7,-1,-5,1,-7,9,11,6,1,-7,-4,-2,-11,4
32DPR1506L,5,-1,-10,-3,0,-2,-6,-2,1,3,-6,-2,1,1,-2,-2,0,-6,1,-1,-1
32DPR1833F,-16,16,1,-6,-6,-9,28,0,-18,-10,8,-14,0,15,5,12,-15,15,-1,-14,20
