cct,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32DPR0876X,0,3,-3,1,0,0,-5,-1,5,1,3,1,-1,-4,-1,-2,3,0,2,3,1
32DPR0525T,-3,0,-2,6,-3,8,0,-6,2,2,-6,0,-8,6,-9,-5,1,-5,-3,1,-2
32DPR0610Q,-15,-5,-14,-2,-3,4,-2,-15,6,-25,1,-11,-4,-7,7,5,23,3,2,18,-1
32DPR1084U,-6,-2,1,1,-2,-1,-2,9,1,-9,-2,-7,5,-2,8,5,2,4,-8,7,-2
32DPR0852N,-6,3,8,-7,-12,-3,-4,-2,1,3,-12,-1,-9,2,-1,0,-2,4,6,-1,7
32DPR0417L,-8,1,-4,6,-12,2,-9,-9,1,-2,-6,-6,5,-9,-10,2,1,2,-2,-6,0
32DPR1060K,-43,-21,7,47,16,-11,27,3,41,0,-1,-1,-12,-3,-25,-1,10,9,-3,7,7
32EPR0118M,5,14,14,-14,-10,23,15,-19,-4,17,9,14,-22,-19,-3,-5,4,7,-11,0,-5
32DPR0502I,-12,-9,-3,-1,0,1,3,1,2,-2,0,-2,-2,4,-6,1,-2,-1,-4,-1,2
32DPR0308E,8,-6,-1,-7,-13,0,-8,2,-3,-3,5,-3,1,-8,-3,2,-7,5,1,0,2
32DPR1193A,-5,2,-9,-2,-5,2,-1,1,1,0,3,0,-4,-8,1,-7,1,8,-7,-1,-4
32DPR0080R,-2,-6,1,5,2,-1,4,-5,1,2,-9,1,6,-10,-3,-4,0,-3,-4,-1,-1
32DPR2397B,3,-7,0,-2,-1,-4,-11,1,-5,2,-3,0,-3,6,-1,-1,1,-3,-2,3,-4
32DPR1529W,-9,-3,-3,0,-6,8,0,1,0,-7,0,-4,-6,-9,-3,8,-5,-3,2,5,1
32DPR0875Y,-1,-3,0,-3,1,4,-4,1,2,-6,-11,-11,13,-5,1,1,11,9,0,-9,9
32DPR0960V,-1,-3,2,-1,-10,-1,-2,-2,4,-2,4,0,-6,0,-4,1,-1,5,0,6,0
32DPR1505M,-14,-3,2,1,10,-7,7,8,-5,-10,-6,-9,1,8,8,-8,7,-4,9,-1,-8
32DPR0766R,0,-9,2,-8,0,-4,-3,-3,2,3,-3,1,3,3,-8,0,5,-10,4,6,-3
32DPR0851O,-10,3,5,-16,4,2,12,-19,27,24,3,25,-43,-9,-12,-10,-7,-12,-14,-7,-5
32DPR0524U,0,-9,-5,-5,10,-1,-7,-12,-15,0,2,-7,8,-9,8,-8,-2,0,-4,-5,12
32DPR0439X,-1,-1,1,0,0,4,-1,1,-1,-3,-3,-3,12,-7,-1,5,0,0,0,4,-2
32DPR1083V,6,-19,2,-10,5,4,-1,-16,4,0,-7,-4,11,-8,4,-2,-12,-12,0,9,2
32EPR0119L,-27,-31,21,-25,7,14,-8,-6,-8,30,2,20,30,-2,34,7,-31,-14,8,-5,-37
32DPR0501J,22,13,7,-5,5,6,-3,3,18,12,-8,6,-31,4,9,30,-17,1,-6,10,-3
32DPR0658J,14,-11,-30,-4,-14,11,-10,10,10,23,18,21,-31,-23,7,0,15,30,-4,8,-11
32DPR0416M,4,0,-3,5,-1,-2,-3,1,1,-3,3,-1,4,2,-4,-7,-8,2,-10,4,-1
32DPR0743G,-9,-3,-3,1,-3,0,-1,-3,1,-3,-1,-1,3,3,-1,3,2,-2,-1,-4,1
32DPR0985D,-6,-1,5,1,-3,-6,4,-5,6,1,-3,-2,8,6,-7,1,2,-7,5,2,7
32DPR2398A,6,-15,-4,-4,0,0,0,1,-1,0,1,-1,4,3,-1,0,5,1,-3,-2,-2
32DPR0307F,4,-7,-13,-1,-2,5,-2,0,-4,3,-1,-2,-7,-5,6,2,-3,-1,-3,6,0
32DPR0549C,23,11,6,18,-27,32,-15,-3,15,-8,16,-4,-30,12,-7,-14,6,12,21,6,31
32DPR1855R,-39,-5,-38,27,-35,17,21,-34,21,1,17,6,12,-22,-23,-2,-5,-22,-28,14,18
32DPR0280P,-6,-10,-4,-2,-12,-7,3,-3,6,-1,-11,-2,-5,-5,5,-6,-3,2,1,-1,2
32DPR0834Y,-21,-7,7,-3,-3,8,2,-3,3,-8,-2,-6,-13,-3,5,-5,8,8,-3,11,3
32DPR1152A,-6,-5,-5,-8,6,1,0,-2,-2,-8,-2,-5,6,2,1,5,3,5,8,5,-5
32DPR1067D,-5,-10,-2,-16,-8,-10,3,-3,-2,-2,1,-3,-7,2,9,12,-2,7,-4,5,2
32DPR0195S,-14,-2,22,-19,-46,9,-27,7,-16,-16,11,-18,-18,-2,-11,18,-14,5,0,-9,-6
32DPR1042V,-5,-25,-8,-14,-16,0,-1,-1,4,14,1,9,-4,2,-14,-3,0,13,5,-8,-2
32DPR2063O,-2,22,30,-16,18,16,-9,-12,-17,6,13,-8,11,-10,7,-29,-19,-24,-7,21,-10
32DPR0810O,-13,-15,0,-7,-2,-8,-3,-7,2,-4,0,-3,24,-1,-2,0,2,-3,2,0,-3
32DPR0725R,-10,4,7,-8,-4,9,-7,11,39,6,32,14,-25,-6,-9,12,-3,3,4,9,-12
32DPR1706J,6,-7,-1,-6,-11,2,-9,-4,3,5,3,4,2,4,-6,-3,0,-1,4,-10,-4
32DPR2390I,45,11,24,-29,6,15,-14,-8,12,0,-7,4,-11,3,-19,23,-2,-2,12,-10,2
32DPR0171I,5,-25,-66,-3,-22,2,-1,-7,7,-10,-1,-2,3,1,46,2,31,18,18,-9,9
32DPR0726Q,-6,14,-1,-5,1,10,-4,-5,-11,3,11,-8,-3,4,-8,-2,9,4,2,-2,10
32DPR0968N,21,-9,-7,-1,-26,10,26,8,-16,23,9,6,2,2,-13,6,-3,4,-14,-4,-30
32DPR1199V,-1,-7,-3,-4,0,-5,0,0,-3,2,-11,2,3,-2,-1,2,0,-6,-3,7,-5
32DPR0944D,2,-1,4,5,0,-2,-5,-2,2,-1,-7,0,17,1,-2,-3,1,-1,-5,0,-4
32DPR0702G,7,14,-18,26,-13,31,-10,-23,7,12,-12,0,20,-12,-12,-23,-14,4,-16,14,-2
32DPR1175L,4,-13,10,-9,-9,11,-8,7,3,7,10,9,-18,2,3,-4,-6,0,-1,-4,-8
32DPR1392Z,-2,3,-3,-3,-3,0,3,-2,4,-1,2,0,-1,-6,3,-2,1,-6,3,0,-2
32DPR1705K,-1,-1,1,1,-2,3,-1,-1,-2,-2,2,-1,6,2,-5,-9,6,-2,-7,-4,2
32DPR0170J,6,-10,2,-7,-5,-11,-4,0,3,9,-4,5,29,-8,-15,9,4,5,-10,-13,6
32DPR0749A,19,3,19,33,17,53,-36,17,-8,0,5,-4,23,2,-37,-22,-29,-42,-47,-38,0
32DPR1151B,-5,-2,-2,-8,-3,9,3,-1,6,10,-19,8,-12,7,-7,-11,-13,1,-5,-4,-5
32DPR1283T,-4,-26,-11,-6,2,-2,9,0,2,-8,-3,-7,20,0,4,7,-2,-4,-3,-4,-7
32DPR1198W,-8,-4,-1,1,-1,1,-1,1,0,0,3,0,1,2,0,-2,1,1,-1,2,-2
32DPR1947H,-5,-19,-1,5,13,-11,1,-3,13,1,4,7,-5,9,-7,-14,-8,11,-8,-7,3
32DPR0061C,3,-3,-8,-2,-1,2,-2,-2,2,0,-1,-1,1,3,0,1,3,-2,-3,-3,2
32DPR1041W,-6,-18,-10,3,13,-4,16,3,-5,8,-7,10,-25,4,-5,8,55,2,-3,-7,-20
32DPR2064N,1,3,0,-2,-1,0,-4,0,2,-2,3,0,2,-1,-2,-1,-5,4,1,-2,-3
32DPR0724S,-1,-11,-22,-44,-6,-6,-12,12,11,-7,-24,-1,-9,-8,-5,4,-13,5,-4,12,4
32DPR0966P,-1,-7,4,2,-3,-2,4,4,-3,-1,-7,-3,0,-3,12,0,1,-3,0,-2,-11
32DPR0639V,0,-5,-7,-6,5,-2,1,0,5,7,3,6,-16,7,-4,-1,-4,4,0,0,-10
32DPR2391H,29,9,22,14,44,18,58,7,-7,-9,28,-10,14,-5,13,-5,67,-26,-10,-30,3
32DPR0967O,7,-17,-4,-4,-4,1,5,-7,-1,7,2,5,-12,-1,3,6,4,0,7,-3,2
32DPR1174M,9,2,-1,-1,-3,1,-1,3,4,0,0,0,-4,-1,0,1,9,-11,3,0,1
32DPR0701H,-4,-8,-6,1,-9,2,0,-5,-5,3,0,2,-9,-3,-7,-1,5,-6,8,9,2
32DPR0616K,-8,-1,2,0,-5,4,3,-2,-3,8,-7,2,-1,1,-4,1,-1,-2,-2,-5,2
32DPR0062B,-4,1,-5,0,2,-8,-7,-4,4,0,-3,1,-7,-1,-2,2,6,-2,3,2,1
32DPR1813S,4,3,22,-17,-12,4,8,3,8,9,-11,9,-26,7,1,-8,-3,7,-4,-15,-4
32DPR1150C,-4,-11,0,-13,-5,-4,-2,5,2,1,10,1,4,-2,-4,-8,2,8,3,-5,-2
32DPR0858H,0,-17,-3,-5,0,-2,0,0,0,-1,1,-1,2,-1,3,-3,3,-2,-3,1,1
32DPR0194T,29,23,31,20,28,-10,-7,3,9,6,-12,7,-39,-15,-23,-43,-13,0,-21,30,26
32EPR0091W,3,-36,9,-17,-9,2,3,13,9,11,7,11,-9,-24,-35,-6,-21,-4,-11,41,-9
32DPR0507D,3,-2,-3,3,1,1,-1,-3,4,0,-1,0,0,-2,0,-1,-5,5,2,-4,-2
32DPR1704L,-24,-11,-14,-14,9,-5,-2,19,-2,7,-10,6,2,11,-24,-17,-21,9,12,-19,28
32DPR0832Z,-4,15,2,-12,4,-1,1,-3,2,-1,-2,1,-4,2,0,1,-1,2,1,-3,1
32DPR0084N,-8,4,-16,-4,-4,0,-2,5,9,-5,-3,-3,20,-6,-3,-3,-1,3,-3,-1,-5
32DPR0723T,-1,-9,1,-14,-7,-4,1,-13,6,-4,-8,-3,-1,6,-4,7,5,6,0,-5,-2
32DPR0060D,-5,-2,-1,2,0,-2,1,-2,-2,-11,-2,-7,9,0,-6,-2,0,4,-3,-2,3
32DPR1282U,-3,-21,-4,-7,-9,7,-2,2,5,-4,0,1,1,5,-2,3,0,3,-10,-11,-4
32DPR1197X,-3,-8,4,-16,4,2,-8,-4,-3,17,-7,3,-4,-1,6,-5,-2,-3,-2,1,-9
32DPR1040X,3,-2,4,-4,-9,-2,0,0,2,-5,3,-2,1,-2,-1,5,-3,5,-7,5,-2
32DPR2065M,3,12,0,1,1,-10,5,-2,0,0,-2,-2,1,-3,3,-7,1,-6,-11,5,-4
32DPR1088Q,-7,-13,1,-8,-6,10,-1,4,-2,5,3,0,-4,7,4,-5,5,-5,5,-2,-4
32DPR1173N,-1,-2,1,2,-3,4,-1,-4,-16,-7,3,-7,8,3,2,-5,0,-1,3,4,-2
32DPR0857I,7,-4,-27,4,-6,19,-3,-6,8,-22,-21,-21,13,-5,-25,-11,0,-5,-4,-5,-3
32DPR0700I,-5,-1,-11,0,2,0,-5,1,2,-1,-1,-1,6,-3,2,-1,-2,4,-7,2,-3
32DPR0193U,-14,-12,-21,7,17,-43,1,4,21,-19,19,2,14,-28,0,-9,-5,-5,5,-7,18
32DPR0748B,12,-13,-5,9,14,-15,-7,-7,-2,7,12,12,-36,-15,-10,-2,7,3,4,1,-8
32DPR1812T,-10,6,-3,0,-8,-7,-3,-1,3,-18,-9,-15,-1,-18,-5,11,-12,-5,-1,9,-12
32DPR2283Z,-8,0,1,0,2,0,2,-4,0,11,-6,1,-6,-1,1,2,4,-5,3,1,0
32DPR0506E,6,6,-63,6,-7,1,-10,-5,-19,-10,63,-42,45,-6,-4,14,-2,-5,8,4,-8
32DPR2393F,-6,2,20,16,-4,-5,-4,-18,-17,-7,12,-14,59,-11,-12,20,17,-9,6,12,-6
32DPR1703M,-20,0,-9,-2,-11,0,10,19,-4,-2,-7,4,-15,-7,-11,-2,5,13,-8,-8,-32
32DPR1945J,-6,0,1,1,-5,-1,-5,-3,1,-6,9,-8,8,-4,2,3,1,-1,3,-6,0
32DPR0722U,-7,-4,2,-2,-4,3,0,-6,-9,-6,-1,-7,8,0,-13,-1,-3,4,1,0,1
32DPR0964R,-7,-2,-10,-15,1,-13,-15,2,7,4,12,6,-12,18,4,4,12,18,10,-12,-16
32DPR0637X,-3,-1,-30,-11,8,-14,5,-21,2,2,25,25,-22,-25,-7,4,1,-3,-16,-10,-15
32DPR1509I,3,-12,-34,-8,3,-1,5,44,12,-7,7,-3,-9,-11,-6,-6,0,-5,8,-1,-11
32DPR0529P,-6,3,-15,4,2,-6,-12,-13,2,-4,17,3,-7,5,2,15,-5,13,-5,7,-1
32DPR0941G,1,-1,0,-7,3,-5,10,-1,-4,7,7,7,-9,13,-6,-1,5,-1,15,-10,-8
32DPR1172O,-10,-6,-4,-3,-8,-1,0,-4,0,-9,3,-5,18,-6,3,-3,0,3,-8,7,-2
32DPR1087R,1,-4,-4,0,-6,0,-9,-1,-2,4,-4,0,-8,2,0,-1,1,2,-1,-1,0
32DPR0856J,-6,-3,-23,-27,-16,10,5,25,-6,6,8,0,18,-21,-11,7,13,39,-11,-33,-13
32DPR0505F,-4,-14,1,1,10,-9,5,-6,0,-1,4,-2,-6,4,-7,-4,-1,7,7,-6,-3
32DPR1390B,2,4,1,-9,-15,2,5,-5,2,0,-1,1,-13,3,-4,0,-4,1,-7,-3,6
32DPR1726X,-42,-15,-22,-30,-4,-8,-6,0,47,30,13,29,-52,-14,-19,-11,-14,4,-20,-20,-9
32DPR1811U,-3,0,-5,-5,17,-3,3,-4,-9,3,-8,-3,-5,5,2,-6,-26,-8,7,-6,3
32DPR1063H,-1,-8,-2,-6,-1,-13,2,6,-5,-6,3,-3,-9,-6,2,0,-4,0,-3,1,0
32DPR0192V,-13,-12,-2,-8,-22,14,-50,-16,-7,5,-5,1,-4,-1,-19,12,9,-3,-1,-1,-5
32EPR0070J,-33,6,18,-13,-8,19,-7,17,11,-17,-7,-14,-10,-29,-28,-20,-27,-25,16,1,7
32DPR0706C,-12,2,-10,9,-20,-11,4,-13,-4,-24,-6,-14,18,5,-1,2,6,1,13,3,5
32DPR0393S,-11,0,13,-3,-6,2,-6,4,27,-8,1,7,17,4,-27,-8,-8,-8,-6,-15,2
32DPR1350A,-1,-4,-6,2,-1,5,-9,0,-2,-5,-4,-2,-9,-2,0,-1,0,0,-3,-1,1
32DPR2027J,6,-3,1,3,-8,1,-3,-7,6,2,2,2,2,4,-11,-2,4,2,3,-2,1
32DPR0284L,-8,1,-14,-5,-4,3,-4,-1,-4,-12,2,-6,15,0,-3,2,-7,0,2,-4,-2
32DPR0199O,6,-19,28,-13,-20,1,2,-17,3,-12,15,-15,36,14,-21,-12,8,-8,-8,-12,-7
32DPR0923R,-12,27,-7,-48,5,-57,6,-16,18,-32,11,-10,11,-47,-2,-5,-37,-17,-28,8,-2
32DPR1046R,-1,-4,1,-2,2,0,1,3,-17,-1,1,-6,2,2,-3,0,-2,0,0,2,1
32DPR1131O,17,12,1,-17,11,-17,-3,-17,-3,-8,3,-12,-1,-9,1,-6,20,-6,11,-16,13
32DPR0839T,-7,-14,-9,-15,-5,18,16,-2,26,7,-3,17,-40,-3,-9,-2,6,13,-14,-1,12
32DPR1482S,-10,21,-5,-2,5,4,17,5,-7,-8,10,-6,13,12,16,12,6,-1,2,-4,-5
32DPR0176D,-11,-2,-7,-3,10,3,-10,8,0,-13,1,-1,3,6,0,-8,3,-6,-4,-7,-6
32DPR0151V,5,-12,18,-13,4,-10,-2,12,0,1,-6,3,-8,-14,-8,9,0,-1,-2,10,2
32DPR0066Y,-2,-9,9,-1,-4,-9,-4,3,-2,-15,0,-9,-4,-15,0,3,-6,1,2,3,-4
32DPR0900G,3,0,-27,-2,-32,0,-18,-3,28,15,12,21,-38,-10,-22,-11,-6,41,2,6,-4
32EPR0094T,-30,-43,-1,-27,-3,25,10,14,13,57,-19,24,-9,-10,-35,-38,-68,27,-3,9,4
32DPR1022H,-5,-4,-3,-1,-7,-6,0,4,1,-7,2,0,3,0,2,1,-1,2,0,9,-2
32DPR1373L,-9,-17,0,-12,0,-16,-5,8,-4,-1,0,0,7,-6,-18,5,-9,14,9,-5,-6
32DPR1288O,-6,2,2,-11,-8,3,-5,0,0,0,0,0,-8,6,-9,-7,6,7,3,1,-2
32DPR0198P,-13,1,-7,2,20,3,-4,-10,12,-15,-3,-2,-35,27,7,1,11,9,-1,-1,7
32EPR0095S,-26,-16,-16,-29,-18,-23,-13,-24,4,-2,5,0,14,44,-9,29,-1,-3,-9,24,-2
32DPR1264E,-5,-9,1,-13,-1,2,-6,-3,-3,-17,2,-8,20,4,6,-1,-13,-3,-6,1,-7
32DPR1179H,-25,-2,-19,-4,-6,5,-2,3,-1,0,8,-3,-3,-2,2,6,-8,2,3,0,1
32DPR1396W,0,-10,3,-4,-2,-6,-1,0,-6,-1,-4,-2,-2,3,1,-3,0,0,3,3,-4
32DPR1709G,5,22,26,31,34,26,-12,-23,-3,-18,19,-17,24,-7,0,-36,6,3,-26,-30,-11
32DPR0089I,0,5,-11,-8,0,1,3,0,9,1,-3,4,-3,-4,-4,-1,6,2,8,12,1
32DPR1481T,-5,-3,-3,-11,-3,-1,4,-3,2,0,0,0,0,0,-3,1,-1,2,2,-3,4
32DPR0174F,6,9,4,-1,-11,13,5,-12,20,4,7,7,5,1,-16,10,-2,8,8,1,5
32DPR1154Z,0,-18,-9,-37,21,-6,10,0,10,16,-6,10,-1,17,-16,13,8,17,-17,6,5
32EPR0071I,-9,-5,-9,-1,-20,-27,-7,-11,2,-69,-17,-52,23,-17,-12,18,4,10,10,1,26
32DPR0922S,-16,4,-14,-14,2,0,3,13,-18,-1,-4,-1,-24,-25,13,-10,-1,3,10,-13,-2
32DPR0837V,-11,4,1,1,-2,4,-7,13,18,16,19,16,-35,1,-6,6,-11,15,6,2,0
32DPR1287P,1,4,3,-2,2,-10,2,-2,-3,-3,-1,-3,-7,-4,-1,1,-2,4,3,3,-5
32DPR1372M,12,11,24,-33,-2,4,-12,-6,40,0,62,20,-21,-1,-15,-7,-16,4,4,-9,-4
32DPR1130P,-3,-11,9,0,-4,11,4,7,-5,0,6,3,-6,-11,0,0,1,-7,-5,5,-8
32DPR0260B,-1,3,-1,-1,-16,1,4,-12,-3,-11,0,-6,22,-5,1,10,-3,2,-8,2,-4
32DPR0175E,-1,-3,-6,-9,-5,10,-4,0,12,8,1,8,-24,7,-4,2,3,11,-14,-5,2
32DPR1263F,3,11,0,15,-4,-1,-14,1,-6,1,-6,-2,4,2,1,1,0,1,-2,1,-2
32DPR1178I,-12,-31,-38,-49,9,3,12,-1,-37,7,1,-11,27,-3,9,-6,37,17,2,3,9
32DPR0392T,-17,-14,-6,-4,-4,-3,0,-7,1,-3,5,-1,-4,4,2,1,-1,6,5,2,3
32DPR1021I,3,-9,7,-4,3,-4,-9,-12,11,0,-2,5,-1,2,-19,3,-5,-1,-5,-5,3
32DPR0705D,8,-16,-7,-2,-17,-18,14,12,-6,-15,13,-6,-2,-8,-11,-15,-3,6,6,-9,-5
32DPR0150W,-37,-8,-14,-53,-9,15,0,10,14,2,-3,-3,5,-6,-2,-8,5,4,14,-3,-1
32DPR1926V,-7,13,-6,20,2,1,-13,-2,1,-1,26,-14,32,13,18,9,20,1,45,-19,-9
32DPR0282N,-10,2,-2,-6,-6,3,-4,2,-2,5,0,-21,20,1,-3,-2,-1,0,4,-4,1
32DPR0197Q,-2,-34,-3,-2,-15,21,-1,-3,3,-9,3,2,-13,-9,-4,-17,11,-16,-3,2,-10
32DPR1069B,-11,-4,-7,-12,-2,5,-13,-8,6,-8,-3,-5,1,-4,-6,-14,1,3,5,-2,10
32DPR0836W,-7,4,-7,-7,5,-7,-8,23,1,17,4,14,58,-5,12,12,13,-4,5,14,-8
32DPR0173G,-10,-14,0,6,-8,-7,-9,-5,8,1,-7,0,-2,8,1,5,1,-5,12,0,-14
32DPR0088J,-3,20,-51,-23,-4,-43,16,6,-28,13,9,9,-5,4,-61,-46,2,45,-8,-6,17
32DPR0921T,23,44,77,-15,32,43,18,2,-6,5,10,-3,13,5,-31,21,6,-2,4,7,1
32DPR2332S,17,-8,12,12,1,-2,0,-1,-14,-10,14,-6,8,-2,-1,-1,4,14,1,10,-10
32DPR1153Z,-3,-4,9,-10,-15,-10,-3,-5,-5,2,0,0,18,41,30,15,23,4,-3,3,-4
32DPR2357A,7,-10,3,-15,-16,-16,0,9,-2,-4,-14,-5,13,-7,5,5,-13,6,-15,2,-5
32DPR1371N,-2,-6,-2,6,7,-3,-7,6,9,-6,-11,-11,6,-5,2,2,-1,-6,-3,1,-10
32DPR1044T,-1,-1,-1,-7,-1,-2,2,0,1,2,-2,1,0,0,-1,2,-1,-3,6,-2,-1
32DPR0391U,0,2,-1,2,-8,10,8,0,3,-2,-3,-3,-5,-2,-6,-2,4,1,-1,-3,-3
32DPR1177J,13,-14,-7,-13,-14,-4,-3,-1,-1,6,-4,1,-10,-6,-12,0,-6,19,5,-1,-6
32DPR2441Z,112,8,10,-17,-5,-5,20,14,9,40,40,40,-32,7,9,39,7,26,1,-3,2
32DPR1020J,-26,-8,-11,-6,-23,11,16,4,-4,-1,1,5,-20,0,-16,40,5,22,13,-16,-18
32EPR0092V,-12,-11,23,-30,-18,20,1,-5,16,-18,-6,3,-10,2,-27,-1,11,-13,-8,3,3
32DPR0704E,-8,-4,-1,-16,-4,-1,0,1,0,-1,4,-1,-4,2,-10,3,-4,2,-4,1,14
32DPR0946B,-5,-26,11,-11,-25,-5,-22,-28,-14,8,8,8,-39,-5,-1,-2,1,-4,-2,1,-14
32DPR0064Z,1,-7,-7,-3,0,-6,1,-2,2,-1,-4,-1,3,3,0,3,0,4,1,-4,2
32DPR0619H,7,2,-6,-1,1,3,-3,0,-1,7,-5,0,-2,8,-1,-6,-4,3,-2,2,-2
32DPR0509B,-2,-3,-15,-13,-2,-12,-22,-5,-5,-6,3,-6,-2,19,9,-13,-3,12,7,-4,-2
32DPR1901M,-1,-4,3,0,-8,-1,-2,2,-2,-2,2,-2,7,-3,-1,0,1,3,-3,3,-2
32DPR1068C,-2,-7,-4,-4,0,4,-1,3,8,-7,8,0,-17,6,-2,0,-1,3,-3,-2,-3
32DPR0281O,1,-26,-22,-6,-22,12,11,-2,-18,-5,32,-16,13,-4,16,-4,-18,7,-16,10,-4
32DPR0196R,4,-6,-14,-14,-10,-11,-1,-13,-5,7,-11,-4,-1,-6,-5,-1,2,-4,7,10,-3
32DPR1043U,0,3,29,-9,12,-2,9,-3,31,24,6,20,-14,32,2,25,28,21,36,12,65
32DPR0920U,2,16,-7,2,-15,-5,2,-6,-15,-6,5,-11,21,9,-26,-16,4,-6,-7,-12,9
32DPR0835X,7,-16,-29,4,-9,-1,-13,-5,10,-7,-20,0,2,-1,-11,5,9,-10,7,1,-7
32DPR2333R,2,-2,-1,3,-4,3,-6,-11,5,-2,-1,-3,10,-5,3,-1,-1,9,-1,-2,-8
32DPR1707I,-3,-2,1,4,1,8,-7,-6,-7,-1,-3,-8,5,-8,-2,-8,1,8,0,-8,1
32DPR0172H,-3,-6,0,-4,-3,3,-11,-2,8,3,2,2,-1,0,-5,-4,-3,-3,-1,1,-2
32DPR0087K,0,-10,0,2,-3,0,-1,3,-1,1,-1,0,-3,0,4,-4,2,-2,-2,3,5
32DPR0812M,1,-4,-4,-1,-5,-10,-3,-2,2,0,6,2,-8,6,-4,-3,-4,7,2,6,-2
32DPR0969M,-2,0,-2,-1,-15,13,-22,-7,8,-1,-5,-6,9,-4,0,-17,20,6,-2,-10,1
32DPR1370O,-22,-8,-4,-2,-1,7,2,-3,6,2,9,4,18,-1,-30,-5,10,3,-5,6,-6
32DPR1285R,-18,-3,-1,14,-8,-5,6,-6,4,-5,2,-3,4,-1,18,-7,-5,-1,-1,0,-5
32EPR0093U,-20,-17,-8,1,-4,-6,-2,5,13,17,7,15,-7,-19,-13,8,3,1,-2,13,2
32DPR0703F,-1,-8,-14,-4,1,-1,0,1,1,0,-2,1,-2,2,5,-1,-5,4,-5,0,0
32DPR2442Y,13,38,1,0,22,9,-19,-2,1,14,15,15,-4,44,-7,10,18,3,12,12,3
32DPR1924X,-6,-4,4,0,4,-11,6,11,-6,-7,-2,-6,11,-5,5,-3,3,-4,-10,-1,4
32DPR0945C,1,-9,-3,-4,-1,-2,1,-7,23,-5,1,5,-19,5,-4,15,8,0,1,0,4
32DPR1176K,-9,3,-8,1,-1,-8,-2,-1,-4,1,-2,0,3,5,-2,0,2,1,1,-4,-3
